,Name,Cluster,Distance
91,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_32.png,12,9737.55
92,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_58.png,5,3007.24
93,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_262.png,3,2783.61
94,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_68.png,8,6105.92
95,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_211.png,11,2150.96
96,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_290.png,10,2091.84
97,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_0.png,11,2069.47
98,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_35.png,8,6472.83
99,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_281.png,8,1764.47
100,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_44.png,5,2589.8
101,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_165.png,5,3218.13
102,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_139.png,8,2501.98
103,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_70.png,8,5918.82
104,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_177.png,10,3086.56
105,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_55.png,5,8730.84
106,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_117.png,3,3022.75
107,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_295.png,8,2320.99
108,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_26.png,5,3910.29
109,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_100.png,0,4807.2
110,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_64.png,5,5480.49
111,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_63.png,5,4201.45
112,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_229.png,8,3081.99
113,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_112.png,10,6987.61
114,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_126.png,11,1766.88
115,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_84.png,5,1859.01
116,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_154.png,8,2837.2
117,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_265.png,5,1603.92
118,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_153.png,11,2661.34
119,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_286.png,8,2131.19
120,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_228.png,6,3126.03
121,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_268.png,3,5520.86
122,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_270.png,5,2328.92
123,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_148.png,7,4255.01
124,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_251.png,11,1102.78
125,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_7.png,5,3598.66
126,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_283.png,10,2489.26
127,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_187.png,5,3101.19
128,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_136.png,0,2485.2
129,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_59.png,5,8940.13
130,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_248.png,11,1858.93
131,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_109.png,8,1309.54
132,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_99.png,5,4403.32
